"","LTE-3+Euclidean distance","e5-large+Euclidean distance","LTE-3+AP","all-mpnet-base-v2+Euclidean distance","ADA-002+Euclidean distance","all-MiniLM-L12-v2+Euclidean distance","all-MiniLM-L6-v2+Euclidean distance","ADA-002+AP","LTE-3+K-means","ADA-002+K-means","nomic+Euclidean distance","all-roberta-large-v1+Euclidean distance","gtr-t5-large+Euclidean distance","e5large_v2+Euclidean distance","embed-english-v2.0+Euclidean distance","sapBERT+Euclidean distance","ClinicalBERT+Euclidean distance","BioGPT+Euclidean distance","LaBSE+Euclidean distance","Levenshtein","MedLlama_13B+Euclidean distance","Levenshtein+AP","Llama3.3_70B+Euclidean distance","Jaro Winkler","Jaro Winkler+AP","Cosine","DeepSeek_8B+Euclidean distance","Cosine+AP","PubMedBERT+Euclidean distance","sciBERT+Euclidean distance","LLama3.2_3B+Euclidean distance","BioBERT+Euclidean distance","LLama3.0+Euclidean distance","ModernBERT+Euclidean distance","Phi-4+Euclidean distance","MedLlama2+Euclidean distance"
"MedLlama_13B+Euclidean distance",9.51243432244585e-91,4.64507547137666e-83,4.80653176484104e-84,4.79986953428378e-79,6.64961068497564e-83,1.29112420508112e-74,5.37309764429198e-75,3.86636551102273e-75,3.48138283964898e-72,1.64273786487375e-69,8.00312755154249e-64,6.88545576755737e-60,3.00911935196086e-54,1.32981207422202e-50,7.46725332191488e-43,1.32407916952826e-27,2.50228025691601e-10,2.78012048793912e-13,0.000142573261456613,0.039468380455071,NA,1,0.0494312803298325,0.00168133440783269,9.26861051401849e-05,6.69160354922751e-05,2.14207572711526e-05,3.73575047703548e-06,1.78414847016535e-07,7.75670363195557e-09,4.51693008431738e-09,2.41984094917993e-10,2.07878249359261e-11,7.80059524585038e-15,1.71095178783078e-18,1.86398168114023e-24
"Levenshtein+AP",2.1182104345245e-87,1.50762193592278e-79,3.09587739062658e-82,5.0456868829571e-78,9.61125312138964e-81,7.98124723855865e-75,1.6723330560086e-75,3.12493312919399e-73,1.12459531474837e-70,4.77710027155405e-68,4.98419499850719e-66,4.75539549561251e-56,4.74911030899684e-56,1.26830158660326e-48,9.41666698674796e-42,2.40166942890572e-26,7.85061331285867e-11,4.26369670436588e-11,0.000261355095047275,1.99948706439047e-07,1,NA,0.0797280255900068,0.0019736336111179,0.000152899037027388,3.85654969454051e-05,1.02284495845971e-05,1.28490661609239e-06,9.31978099983761e-07,2.00953576077791e-08,2.67026281906715e-09,1.24620705740453e-09,4.92131684868747e-11,5.3446907249918e-14,1.87959464454512e-18,5.10268644260237e-23
"Llama3.3_70B+Euclidean distance",1.3340448134134e-95,1.16427796919733e-90,1.17449788751943e-89,6.66633793919952e-88,1.75717517158426e-87,1.25496591574507e-82,9.86176683159173e-83,2.3531006307068e-81,6.98061354936886e-80,1.17104738755807e-75,1.52519282702836e-73,2.20431950669312e-66,1.52937720271384e-62,5.445305813162e-58,5.7973904428514e-51,1.06645155403589e-35,7.59445978083725e-17,1.88378876874121e-19,1.17403148869651e-08,3.26830334330063e-05,0.0494312803298325,0.0797280255900068,NA,0.245901902658905,0.0556455174507593,0.0121553030686478,0.00549041460581892,0.00117782545275242,0.000331734953510079,2.38797592705318e-05,1.43148335695762e-05,4.09467025059266e-06,1.74503802164555e-07,2.13577487648428e-10,6.1918226186091e-15,8.02369444267983e-19
"Jaro Winkler",9.00081105359442e-102,1.37529026385699e-91,7.46515744111252e-97,3.33559761380574e-88,1.78356235577126e-92,4.92057790287678e-84,4.72889733415134e-85,5.95413361417825e-85,4.47270058408378e-85,4.07688784794189e-80,3.43892685870746e-76,7.1795149942946e-68,8.06920911790766e-66,1.31578612572075e-59,5.15458847929968e-55,2.00676213979054e-38,4.12901639765222e-18,4.70480834091792e-20,6.75440609257851e-11,2.75841777150587e-08,0.00168133440783269,0.0019736336111179,0.245901902658905,NA,0.0338204594040386,0.15994595107541,0.100622099966766,0.0312195052695479,0.0153295682115089,0.00221929299298169,0.000954088523685484,0.000366179295844821,3.60497437795721e-05,5.71768864492566e-07,2.03184355002069e-10,3.22967712504869e-14
"Jaro Winkler+AP",1.80209972950345e-104,3.09687349616643e-94,1.43210727979141e-99,3.31330429065603e-90,8.29484375249816e-95,5.01301503816326e-86,4.69732276998977e-87,1.34343089438107e-87,9.4644720709295e-89,4.74560359414052e-83,3.37401712824354e-78,4.6365957931283e-71,7.93223816455115e-68,6.86698564965737e-62,7.43308406221539e-58,1.39869656942164e-40,3.01998575447224e-20,2.83188279560647e-22,1.63358424275671e-12,1.12219760760603e-09,9.26861051401849e-05,0.000152899037027388,0.0556455174507593,0.0338204594040386,NA,0.542226869070487,0.347336843947163,0.177070870725298,0.0944495196959012,0.0209042682081234,0.0112435554778182,0.00543565317553963,0.000863543336117867,3.34123362244063e-05,3.18891982496522e-08,1.20296843988764e-11
"Cosine",2.02735838632383e-105,8.80532785888841e-101,1.76448377406523e-99,1.224244515086e-96,7.87486439688726e-100,3.62374131249503e-97,3.67532088527279e-95,2.05497007535863e-92,3.36609683688092e-90,9.67999246314116e-88,1.15352002414547e-85,5.44901474349603e-76,2.08651668733514e-76,4.8246155688455e-68,6.55349951313583e-64,8.48373218435098e-47,1.04164128590756e-25,4.60012139607208e-23,2.79354456534228e-17,6.64873070006256e-10,6.69160354922751e-05,3.85654969454051e-05,0.0121553030686478,0.15994595107541,0.542226869070487,NA,0.70646842785315,0.0254117065896394,0.293348544036367,0.0870951605142772,0.0461502504109035,0.0346127864459054,0.00705135698430815,0.000403316968997403,9.87086515239885e-08,1.4546916398663e-10
"DeepSeek_8B+Euclidean distance",2.96770065378971e-107,7.83157207061883e-101,6.34624334097766e-101,1.56145895545395e-99,2.87474170152287e-101,4.28351908861497e-94,1.47135583643294e-94,1.33899956957642e-94,2.42949761119083e-90,1.47503601535857e-88,4.66912310744444e-85,3.78779473446978e-77,3.12493312919399e-73,7.93005139645425e-67,1.83573136292378e-59,7.85915532787495e-45,1.75899415753759e-24,1.89504947033641e-24,1.20519711338832e-15,1.31046025446605e-10,2.14207572711526e-05,1.02284495845971e-05,0.00549041460581892,0.100622099966766,0.347336843947163,0.70646842785315,NA,0.853947673612544,0.573597431428941,0.166624679825347,0.0448466582450968,0.0770633277093404,0.0045524815793276,0.00532196811162117,7.1836670525783e-08,5.1129399624939e-12
"Cosine+AP",1.09507302640186e-107,4.8217542976308e-103,4.23519795011753e-102,5.83829857831991e-99,9.58127039176712e-102,1.62285624866011e-99,1.79691078023207e-97,9.61341829667447e-95,7.35164198948996e-93,4.46677518141497e-90,5.23051897142317e-88,5.42512950304738e-79,4.01472439119777e-79,2.27831495560752e-70,1.38868941597779e-66,2.46920740687723e-49,5.741930715981e-28,1.29300679969719e-25,1.99761286009201e-19,8.09686646285706e-12,3.73575047703548e-06,1.28490661609239e-06,0.00117782545275242,0.0312195052695479,0.177070870725298,0.0254117065896394,0.853947673612544,NA,0.741845045766817,0.317294562672482,0.203728653994696,0.173286831979114,0.0500313500759773,0.00536564647539058,4.82697196756137e-06,2.00472323086913e-08
"PubMedBERT+Euclidean distance",1.54246384883174e-108,7.13935479071453e-107,6.2226664168056e-102,4.90541129425975e-103,5.43470019644125e-103,1.57558753657097e-96,1.18394025418349e-96,1.1811035558491e-95,4.074329273039e-93,1.13096492176206e-91,6.27666405498433e-89,1.3670001147658e-80,1.17104738755807e-75,2.84181896893297e-72,8.39801549855931e-64,2.60699842213507e-50,2.80337275432954e-26,6.92770767062773e-30,1.71095178783078e-18,1.14918759031719e-11,1.78414847016535e-07,9.31978099983761e-07,0.000331734953510079,0.0153295682115089,0.0944495196959012,0.293348544036367,0.573597431428941,0.741845045766817,NA,0.479564184313902,0.359664200220589,0.275699796572687,0.103926122479675,0.01790338907641,9.68836876614286e-06,8.54679688660868e-08
"sciBERT+Euclidean distance",3.40781677622286e-111,5.2044387470171e-108,4.83676302474328e-106,1.26679267513255e-104,6.50833025622449e-108,3.30081165089583e-100,4.86711294603747e-101,1.89791635300718e-100,8.85385842816333e-97,1.02780415291277e-95,2.30650652159927e-92,2.88051310119688e-81,5.89275870605968e-80,1.36853694588633e-76,2.07066317629775e-66,1.64474527518188e-50,3.13037481176437e-32,7.87961330027173e-32,2.02630674663396e-20,4.47671978007454e-14,7.75670363195557e-09,2.00953576077791e-08,2.38797592705318e-05,0.00221929299298169,0.0209042682081234,0.0870951605142772,0.166624679825347,0.317294562672482,0.479564184313902,NA,0.836097779670957,0.777328697010982,0.314331880031623,0.109431169340715,0.00032886295107473,3.24965508509582e-07
