"","all-MiniLM-L12-v2+Euclidean distance","e5-large+Euclidean distance","all-mpnet-base-v2+Euclidean distance","LTE-3+Euclidean distance","all-MiniLM-L6-v2+Euclidean distance","LTE-3+AP","LTE-3+K-means","ADA-002+Euclidean distance","ADA-002+AP","ADA-002+K-means","nomic+Euclidean distance","all-roberta-large-v1+Euclidean distance","e5large_v2+Euclidean distance","gtr-t5-large+Euclidean distance","embed-english-v2.0+Euclidean distance","sapBERT+Euclidean distance","BioGPT+Euclidean distance","ClinicalBERT+Euclidean distance","LaBSE+Euclidean distance","MedLlama_13B+Euclidean distance","Levenshtein","Levenshtein+AP","Llama3.3_70B+Euclidean distance","Jaro Winkler","Jaro Winkler+AP","Cosine","Cosine+AP","DeepSeek_8B+Euclidean distance","PubMedBERT+Euclidean distance","LLama3.2_3B+Euclidean distance","BioBERT+Euclidean distance","LLama3.0+Euclidean distance","sciBERT+Euclidean distance","ModernBERT+Euclidean distance","Phi-4+Euclidean distance","MedLlama2+Euclidean distance"
"Levenshtein",3.23998375429276e-75,3.73464869440165e-74,3.89104509969304e-76,9.76679241428729e-79,6.0461062255472e-72,4.661977694467e-74,6.17735903207923e-70,5.61127737408167e-67,1.24437630600261e-63,5.12206608848661e-58,1.63655383665945e-60,1.77182052071636e-53,1.0279676898747e-52,3.00810949791809e-52,1.1742017782311e-40,2.08706666689205e-33,2.98477368234221e-10,7.90374128134825e-10,0.000113069595062485,0.281076813937998,NA,0.168560117167932,0.024557943460038,5.30376381668734e-07,1.38552548552698e-07,1.1966220276143e-07,1.01069963629398e-07,1.29037313927911e-08,9.23320165229498e-09,6.00750826633762e-11,1.34551814950806e-11,1.45065699068636e-11,1.14819674133372e-13,1.36941682447693e-16,1.32166162536659e-22,8.14731397121207e-28
"Levenshtein+AP",6.77947051010605e-77,1.59133683089258e-75,7.84576344024709e-78,4.31904147457018e-80,1.24708793740933e-73,2.038310907919e-75,1.23046849995209e-71,2.70338066607472e-69,8.67170580463788e-67,1.73141539686567e-60,6.79829809424054e-62,7.32223298921939e-55,1.17735061465742e-54,3.04964535893531e-54,2.80034316016452e-42,9.43844096531434e-35,2.45153292025972e-11,4.12020148404552e-11,2.01611309412706e-05,0.110601556178583,0.168560117167932,NA,0.110616077008859,2.43651529882369e-05,8.00681313798039e-06,2.14966337954677e-06,1.63429870448233e-06,2.53285023927315e-07,2.02265212388732e-07,2.45680383302482e-09,6.76726076139711e-10,4.17302139004538e-10,9.52145419550103e-12,8.34472321772517e-15,1.24104127835073e-20,1.27890760297022e-25
"Llama3.3_70B+Euclidean distance",5.72620024648104e-82,3.16291634641226e-81,6.34208901328767e-83,1.79421787427567e-84,5.11750785091579e-79,7.25083641685748e-81,4.1797052430794e-75,8.32723282066702e-73,6.29657982276832e-71,6.42295500577918e-65,5.72118146883683e-67,6.48854395367117e-62,2.84999968572614e-60,4.25047060194469e-58,2.98104007030565e-49,6.10267364336974e-45,7.05636986947134e-18,3.86727568331563e-16,1.26359715398308e-09,0.000199684291369172,0.024557943460038,0.110616077008859,NA,0.0157531316670882,0.00961882083153346,0.000490567754276547,0.000512356764813208,0.00016392911218531,5.14617950577919e-05,1.11124101124102e-05,1.5340541702442e-06,4.38708236521711e-07,4.17381233231837e-08,7.85052985638221e-11,1.77445066236972e-17,5.4175155443424e-21
"Jaro Winkler",2.37685539923534e-91,5.52387973681089e-92,2.36705996497443e-91,2.15012461396963e-96,2.16886707552921e-88,1.06770756045748e-92,1.80601547036574e-86,4.091707662108e-85,9.6951413005767e-82,9.83242235504674e-76,2.90398427241273e-76,7.77124828984721e-73,1.86632213052303e-68,4.77455052739689e-69,3.97792643643028e-59,5.27154906390593e-54,1.75028086602929e-24,6.12446977246821e-23,7.54818418098675e-16,4.1766962400712e-09,5.30376381668734e-07,2.43651529882369e-05,0.0157531316670882,NA,0.623387693286386,0.264029997942681,0.240184037348914,0.110013287068841,0.0713893661360214,0.0204213651706431,0.0064164461885422,0.00438854701975547,0.000768885760038606,4.2891932917574e-05,1.24501194269302e-09,2.55325774718861e-14
"Jaro Winkler+AP",1.24084549734936e-91,1.30406953981405e-92,2.78272293610416e-91,2.01697385470501e-97,1.11568270155469e-88,1.00556261310365e-93,1.83742206030492e-87,9.26199769952659e-86,2.26914869762837e-82,1.09016366638117e-76,1.46184628310585e-76,7.99263217733581e-74,4.37675526899855e-69,5.39118631931763e-69,2.11564887895729e-60,4.7441619955782e-54,3.07019036752555e-25,1.71347657120677e-23,4.11257626069975e-16,9.82741776820134e-10,1.38552548552698e-07,8.00681313798039e-06,0.00961882083153346,0.623387693286386,NA,0.368941262847753,0.335583342821599,0.166880935675596,0.11179448852666,0.0354917034505512,0.0118694998983093,0.00926349235156061,0.00154916168181314,0.0001304358249699,2.82804148892626e-09,1.14819674133372e-13
"Cosine",3.36158622992538e-97,4.46708236041779e-96,3.60428166354657e-96,1.09202988436187e-99,8.09210119964994e-93,1.92552461238374e-96,7.1147027304499e-90,1.2502007671981e-89,6.83418619954411e-87,1.93907840184129e-80,8.73367606366887e-82,6.15770782861562e-77,8.21937255633148e-73,3.46537354502889e-73,1.67384865568872e-64,1.56889764746705e-60,1.70046708755419e-24,5.45468098190655e-29,2.34171190549872e-21,4.87171168985184e-10,1.1966220276143e-07,2.14966337954677e-06,0.000490567754276547,0.264029997942681,0.368941262847753,NA,1,0.562698313834107,0.464059440030111,0.220223644322909,0.0970718044978353,0.0893150279834954,0.0266466267333219,0.00277425193325646,1.63883558318301e-07,6.25536768808236e-11
"Cosine+AP",2.59047696382035e-96,2.85634702477416e-96,2.65503915136097e-95,6.91284145285012e-100,5.55952295166895e-92,2.83183649059256e-96,8.29566627910072e-91,1.76973620797567e-89,9.4821013037721e-87,2.55775664171845e-80,1.2191075141243e-81,8.48333891549543e-77,1.06280238521408e-72,4.84299144138787e-73,1.02428683534966e-64,3.97792643643028e-59,2.2138678783971e-24,9.19919323349313e-29,7.86598213134773e-21,4.88745932278511e-10,1.01069963629398e-07,1.63429870448233e-06,0.000512356764813208,0.240184037348914,0.335583342821599,1,NA,0.608843566169938,0.50045448428562,0.247294869145092,0.11179448852666,0.10744421812084,0.0304391132279798,0.00361157065745841,2.23477639748385e-07,1.41805230486515e-10
"DeepSeek_8B+Euclidean distance",1.83049541698026e-97,2.02700535121585e-97,3.18902503671667e-98,7.83341336938609e-100,1.1529304796487e-95,6.36998940561529e-96,1.40595162809057e-90,1.74545609197929e-92,1.76050560722318e-90,3.30366369594427e-82,1.90464762617549e-81,1.09530312399987e-74,2.58182668097336e-73,6.90744835796194e-71,5.31956542805976e-64,8.5418896296222e-56,2.36831528767883e-28,8.42315267974434e-28,1.40946240845877e-19,2.45748735134655e-10,1.29037313927911e-08,2.53285023927315e-07,0.00016392911218531,0.110013287068841,0.166880935675596,0.562698313834107,0.608843566169938,NA,0.950277825227881,0.423531818534838,0.278056205090402,0.1783048140753,0.0826810141215851,0.0346766476755104,3.18505092889955e-07,8.49433207796349e-12
"PubMedBERT+Euclidean distance",7.4460515113911e-96,2.49566855308189e-100,1.28231674924329e-98,2.1288197506772e-101,1.37549074789692e-93,2.01697385470501e-97,4.77801388829455e-92,2.78606372305049e-93,3.56978449742407e-90,2.68307002311563e-83,2.91574104097105e-83,1.91817326723966e-78,1.09016366638117e-76,5.82447508773996e-72,4.63328948234062e-65,2.6419706112107e-59,6.94161931766572e-30,3.44540808426404e-26,8.8263550240849e-21,1.03218514412763e-11,9.23320165229498e-09,2.02265212388732e-07,5.14617950577919e-05,0.0713893661360214,0.11179448852666,0.464059440030111,0.50045448428562,0.950277825227881,NA,0.636790401067988,0.341057030945488,0.329540636882015,0.113731450889064,0.0366956337868936,1.88889164941916e-06,2.50356774672344e-09
"LLama3.2_3B+Euclidean distance",1.78225133719383e-98,1.86567959903403e-99,1.52107002065657e-99,2.85205083828359e-102,5.65482310075928e-96,5.81541575907036e-98,2.48651379118394e-92,3.14759157366902e-94,7.2604232236883e-92,1.16086541026586e-84,7.0203060459878e-83,4.26804102613574e-78,1.05198085014914e-76,2.50974808298672e-73,8.40698775407715e-66,1.09059196857345e-58,1.19096159304134e-30,3.70324393949753e-29,6.28021518870203e-22,1.41552885465399e-12,6.00750826633762e-11,2.45680383302482e-09,1.11124101124102e-05,0.0204213651706431,0.0354917034505512,0.220223644322909,0.247294869145092,0.423531818534838,0.636790401067988,NA,0.716671284515162,0.553988345718954,0.307135591887388,0.149824319245889,7.21122574979604e-06,4.78002027134212e-09
